"ANO","NIVEL","CODMUNRES","TO","TO_FT","TO_NFT","TO_M","TO_F","TON","TON_B","TON_PT","TON_A","TON_PD","TON_I","TOM","TOM_SE","TOM_FI","TOM_FII","TOM_M","TOM_SI","TOM_SC","TOM_15_49","TOM_OUTRAS"
2015,"MS",50,15457,0,15457,9066,6389,354,170,3,1,150,29,45,1,14,11,12,1,1,45,0
2015,"MUNICIPIO",5e+05,5,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500020,62,0,62,43,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500025,18,0,18,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500060,262,0,262,155,107,8,3,0,0,1,4,2,0,1,1,0,0,0,2,0
2015,"MUNICIPIO",500070,167,0,167,108,59,5,4,0,0,1,0,2,0,0,1,1,0,0,2,0
2015,"MUNICIPIO",500080,52,0,52,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500085,65,0,65,39,26,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
2015,"MUNICIPIO",500090,62,0,62,42,20,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500100,175,0,175,103,72,3,1,0,0,2,0,1,0,1,0,0,0,0,1,0
2015,"MUNICIPIO",500110,329,0,329,179,150,9,2,0,0,6,1,1,0,1,0,0,0,0,1,0
2015,"MUNICIPIO",500124,50,0,50,36,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500150,38,0,38,22,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500190,108,0,108,67,41,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500200,83,0,83,45,38,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500210,146,0,146,90,56,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500215,50,0,50,24,26,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
2015,"MUNICIPIO",500220,86,0,86,52,34,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500230,70,0,70,44,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500240,147,0,147,85,62,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500260,87,0,87,46,41,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500270,5018,0,5018,2867,2151,85,48,0,1,36,0,8,1,0,1,4,0,0,8,0
2015,"MUNICIPIO",500280,31,0,31,16,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500290,153,0,153,94,59,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500295,82,0,82,56,26,2,1,0,0,1,0,1,0,1,0,0,0,0,1,0
2015,"MUNICIPIO",500310,21,0,21,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500315,108,0,108,61,46,5,2,0,0,3,0,1,0,1,0,0,0,0,1,0
2015,"MUNICIPIO",500320,671,0,671,394,276,33,7,0,0,26,0,4,0,1,3,0,0,0,4,0
2015,"MUNICIPIO",500325,109,0,109,63,46,4,3,0,0,1,0,3,0,1,0,0,0,0,3,0
2015,"MUNICIPIO",500330,242,0,242,147,95,3,1,0,0,2,0,1,0,0,0,1,0,0,1,0
2015,"MUNICIPIO",500345,72,0,72,43,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500348,51,0,51,31,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500350,39,0,39,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500370,1285,0,1285,739,546,30,12,1,0,10,7,2,0,1,0,0,0,1,2,0
2015,"MUNICIPIO",500375,72,0,72,49,23,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500380,154,0,154,88,66,2,1,0,0,1,0,1,0,0,0,1,0,0,1,0
2015,"MUNICIPIO",500390,18,0,18,13,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500400,63,0,63,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500410,86,0,86,48,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500430,84,0,84,56,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500440,40,0,40,25,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500450,93,0,93,51,42,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500460,102,0,102,61,41,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2015,"MUNICIPIO",500470,154,0,154,98,56,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500480,46,0,46,32,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500490,29,0,29,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500500,170,0,170,94,76,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500510,18,0,18,11,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500515,55,0,55,33,22,2,0,0,0,1,1,1,0,0,0,1,0,0,1,0
2015,"MUNICIPIO",500520,121,0,121,65,56,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500525,21,0,21,12,9,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
2015,"MUNICIPIO",500540,201,0,201,113,88,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500560,135,0,135,90,45,8,2,0,0,3,3,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500568,125,0,125,72,53,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500570,277,0,277,168,109,5,4,0,0,1,0,2,0,0,0,1,0,0,2,0
2015,"MUNICIPIO",500580,77,0,77,56,21,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
2015,"MUNICIPIO",500600,94,0,94,48,46,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500620,269,0,269,170,99,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500625,21,0,21,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500627,11,0,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500630,322,0,322,169,153,9,6,0,0,3,0,2,0,1,0,0,1,0,2,0
2015,"MUNICIPIO",500635,74,0,74,44,30,5,3,0,0,1,1,2,0,2,0,0,0,0,2,0
2015,"MUNICIPIO",500640,47,0,47,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500660,545,0,545,332,213,11,7,0,0,4,0,3,0,0,1,2,0,0,3,0
2015,"MUNICIPIO",500690,70,0,70,40,30,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500710,92,0,92,58,34,7,3,0,0,4,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500720,151,0,151,98,53,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500730,36,0,36,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500740,144,0,144,94,50,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500750,13,0,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500755,38,0,38,31,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500769,102,0,102,62,40,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500770,80,0,80,39,41,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
2015,"MUNICIPIO",500780,39,0,39,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500790,249,0,249,145,104,6,2,0,0,3,1,1,0,1,0,0,0,0,1,0
2015,"MUNICIPIO",500793,61,0,61,37,24,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500795,64,0,64,37,27,3,0,0,0,0,3,1,0,1,0,0,0,0,1,0
2015,"MUNICIPIO",500797,19,0,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500800,85,0,85,57,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500830,689,0,689,404,285,18,12,1,0,5,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",500840,57,0,57,33,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
